TimeStamp,inject_serive,inject_type,time,last_time (s)
2022-03-27 01:51:00,cartservice,cpu,4916,180
2022-03-27 02:09:00,index,excessive flow,4934,180
2022-03-27 02:27:00,checkoutservice,faulty-update,4952,180
2022-03-27 02:46:00,adservice,faulty-update,4971,180
2022-03-27 03:04:00,emailservice,faulty-update,4989,180
2022-03-27 03:23:00,browseproduct,excessive flow,5008,180
2022-03-27 03:42:00,mysql,db_delay,5027,180
2022-03-27 04:01:00,emailservice,cpu,5046,180
2022-03-27 04:19:00,emailservice,faulty-update,5064,180
2022-03-27 04:38:00,setcurrency,excessive flow,5083,180
2022-03-27 04:58:00,currencyservice,faulty-update,5103,180
2022-03-27 05:17:00,mysql,db_delay,5122,180
2022-03-27 05:36:00,checkout,excessive flow,5141,180
2022-03-27 05:55:00,recommendationservice,faulty-update,5160,180
2022-03-27 06:13:00,recommendationservice,faulty-update,5178,180
2022-03-27 06:32:00,cartservice,latency,5197,180
2022-03-27 06:51:00,emailservice,cpu,5216,180
2022-03-27 07:09:00,recommendationservice,faulty-update,5234,180
2022-03-27 07:29:00,cartservice,latency,5254,180
2022-03-27 07:47:00,setcurrency,excessive flow,5272,180
2022-03-27 08:06:00,productcatalogservice,cpu,5291,180
2022-03-27 08:25:00,mysql,db_delay,5310,180
2022-03-27 08:45:00,recommendationservice,faulty-update,5330,180
2022-03-27 09:03:00,cartservice,faulty-update,5348,180
2022-03-27 09:22:00,viewcart,excessive flow,5367,180
2022-03-27 09:42:00,emailservice,faulty-update,5387,180
2022-03-27 10:00:00,productcatalogservice,cpu,5405,180
2022-03-27 10:19:00,mysql,db_delay,5424,180
2022-03-27 10:38:00,checkoutservice,latency,5443,180
2022-03-27 10:57:00,checkout,excessive flow,5462,180
2022-03-27 11:17:00,adservice,faulty-update,5482,180
2022-03-27 11:35:00,emailservice,faulty-update,5500,180
2022-03-27 11:54:00,recommendationservice,latency,5519,180
2022-03-27 12:13:00,checkout,excessive flow,5538,180
2022-03-27 12:33:00,viewcart,excessive flow,5558,180
2022-03-27 12:51:00,adservice,cpu,5576,180
2022-03-27 13:10:00,mysql,db_delay,5595,180
2022-03-27 13:29:00,mysql,db_delay,5614,180
2022-03-27 13:49:00,adservice,cpu,5634,180
2022-03-27 14:09:00,productcatalogservice,faulty-update,5654,180
2022-03-27 14:28:00,emailservice,cpu,5673,180
2022-03-27 14:46:00,mysql,db_delay,5691,180
2022-03-27 15:06:00,mysql,db_delay,5711,180
2022-03-27 15:25:00,recommendationservice,latency,5730,180
2022-03-27 15:43:00,emailservice,faulty-update,5748,180
2022-03-27 16:02:00,browseproduct,excessive flow,5767,180
2022-03-27 16:21:00,emailservice,faulty-update,5786,180
2022-03-27 16:40:00,paymentservice,faulty-update,5805,180
2022-03-27 16:59:00,adservice,faulty-update,5824,180
2022-03-27 17:18:00,cartservice,faulty-update,5843,180
2022-03-27 17:38:00,adservice,faulty-update,5863,180
2022-03-27 17:57:00,mysql,db_delay,5882,180
2022-03-27 18:15:00,index,excessive flow,5900,180
2022-03-27 18:34:00,productcatalogservice,faulty-update,5919,180
2022-03-27 18:52:00,checkout,excessive flow,5937,180
2022-03-27 19:11:00,adservice,faulty-update,5956,180
2022-03-27 19:29:00,browseproduct,excessive flow,5974,180
2022-03-27 19:48:00,checkoutservice,latency,5993,180
2022-03-27 20:07:00,paymentservice,cpu,6012,180
